,Front,Back,Audio
654,hips,hanches,[sound:hanches.mp3]
655,initially,d'abord,[sound:d'abord.mp3]
656,risk,risque,[sound:risque.mp3]
657,play,jouer,[sound:jouer.mp3]
658,streets,rues,[sound:rues.mp3]
659,trend,tendance,[sound:tendance.mp3]
660,reminisce,souvenir,[sound:souvenir.mp3]
661,competition,compétition,[sound:compétition.mp3]
662,whole,entier,[sound:entier.mp3]
663,experimental,expérimental,[sound:expérimental.mp3]
664,three,trois,[sound:trois.mp3]
665,issues,questions,[sound:questions.mp3]
666,problem,problème,[sound:problème.mp3]
667,connection,connexion,[sound:connexion.mp3]
668,princess,princesse,[sound:princesse.mp3]
669,okay,bien,[sound:bien.mp3]
670,destroy,détruire,[sound:détruire.mp3]
671,come,venir,[sound:venir.mp3]
672,agree,accord,[sound:accord.mp3]
673,push,pousser,[sound:pousser.mp3]
674,exist,exister,[sound:exister.mp3]
675,fail,échouer,[sound:échouer.mp3]
676,utilize,utiliser,[sound:utiliser.mp3]
677,exact,exact,[sound:exact.mp3]
678,afar,loin,[sound:loin.mp3]
679,scared,effrayé,[sound:effrayé.mp3]
680,love,amour,[sound:amour.mp3]
681,differences,différences,[sound:différences.mp3]
682,enjoy,apprécier,[sound:apprécier.mp3]
683,naturally,naturellement,[sound:naturellement.mp3]
684,nobody's,personne,[sound:personne.mp3]
685,assure,assurer,[sound:assurer.mp3]
686,causes,cause,[sound:cause.mp3]
687,older,plus ancien,[sound:plus ancien.mp3]
688,means,moyens,[sound:moyens.mp3]
689,agency,agence,[sound:agence.mp3]
690,bigger,plus grand,[sound:plus grand.mp3]
691,wrong,erroné,[sound:erroné.mp3]
692,forcing,forçage,[sound:forçage.mp3]
693,fittings,raccords,[sound:raccords.mp3]
694,randomly,au hasard,[sound:au hasard.mp3]
695,levels,niveaux,[sound:niveaux.mp3]
696,date,date,[sound:date.mp3]
697,tits,seins,[sound:seins.mp3]
698,dick,bite,[sound:bite.mp3]
699,perfect,parfait,[sound:parfait.mp3]
700,heartbroken,cœur brisé,[sound:cœur brisé.mp3]
701,tell,dire,[sound:dire.mp3]
702,used,utilisé,[sound:utilisé.mp3]
703,assumptions,hypothèses,[sound:hypothèses.mp3]
704,sales,vente,[sound:vente.mp3]
705,looks,regards,[sound:regards.mp3]
706,hit,frappé,[sound:frappé.mp3]
707,major,majeur,[sound:majeur.mp3]
708,domino,domino,[sound:domino.mp3]
709,mileage,kilométrage,[sound:kilométrage.mp3]
710,banana,banane,[sound:banane.mp3]
711,bottom,bas,[sound:bas.mp3]
712,illegal,illégal,[sound:illégal.mp3]
713,transfer,transfert,[sound:transfert.mp3]
714,personally,personnellement,[sound:personnellement.mp3]
715,effect,effet,[sound:effet.mp3]
716,oiled,huilé,[sound:huilé.mp3]
717,part,partie,[sound:partie.mp3]
718,hair,cheveux,[sound:cheveux.mp3]
719,moments,moments,[sound:moments.mp3]
720,sounds,sons,[sound:sons.mp3]
721,marriage,mariage,[sound:mariage.mp3]
722,talks,discussions,[sound:discussions.mp3]
723,disappointing,décevant,[sound:décevant.mp3]
724,fester,s'envenimer,[sound:s'envenimer.mp3]
725,deserve,mériter,[sound:mériter.mp3]
726,limited,limité,[sound:limité.mp3]
727,phelps,phelps,[sound:phelps.mp3]
728,built,construit,[sound:construit.mp3]
729,overestimate,surestimer,[sound:surestimer.mp3]
730,saw,voir,[sound:voir.mp3]
731,invalidate,invalider,[sound:invalider.mp3]
732,earn,gagner,[sound:gagner.mp3]
733,arguments,arguments,[sound:arguments.mp3]
